type,name,ubication,code
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Administrativo,MC,01MC
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Docente,MC,02MC
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Estudiantes,MC,03MC
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Administrativo,JM,04JM
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Docente,JM,05JM
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Estudiantes,JM,06JM
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Administrativo,FS,07FS
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Personal Docente,FS,08FS
"Personal
(Empleados y colaboradores de la organización que tienen acceso y manejan diferentes activos. Esto incluye roles específicos, responsabilidades y niveles de acceso.)",Estudiantes,FS,09FS
"Servicios de terceros
(Servicios contratados a empresas externas que pueden incluir servicios de mantenimiento, soporte técnico, outsourcing de TI, servicios de nube y cualquier otro servicio externalizado.)",Correo Institucional Google Apps WorkSpace,CLOUD,01CLOUD
"Servicios de terceros
(Servicios contratados a empresas externas que pueden incluir servicios de mantenimiento, soporte técnico, outsourcing de TI, servicios de nube y cualquier otro servicio externalizado.)",Microsoft 365,CLOUD,02CLOUD
"Servicios de terceros
(Servicios contratados a empresas externas que pueden incluir servicios de mantenimiento, soporte técnico, outsourcing de TI, servicios de nube y cualquier otro servicio externalizado.)",ERP - Intermix,CLOUD,03CLOUD
